2001 Scottish National Park Populations - Postcode Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,,,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,
,1,The Cairngorms National Park,PH21 1ET,29,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BZ,3,
,1,The Cairngorms National Park,PH21 1ES,4,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EQ,10,
,1,The Cairngorms National Park,PH20 1DZ,15,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EA,30,
,1,The Cairngorms National Park,PH21 1EP,6,,,2,The Loch Lomond and The Trossachs National Park,FK17 8ES,135,
,1,The Cairngorms National Park,PH20 1BS,70,,,2,The Loch Lomond and The Trossachs National Park,FK17 8ET,18,
,1,The Cairngorms National Park,PH21 1EL,6,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EU,47,
,1,The Cairngorms National Park,PH21 1EH,9,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EW,29,
,1,The Cairngorms National Park,PH21 1DX,10,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EX,32,
,1,The Cairngorms National Park,PH21 1DQ,7,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EY,23,
,1,The Cairngorms National Park,PH20 1EG,3,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EP,78,
,1,The Cairngorms National Park,PH20 1EF,22,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DQ,11,
,1,The Cairngorms National Park,PH20 1EE,12,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DE,10,
,1,The Cairngorms National Park,PH20 1ED,55,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DF,111,
,1,The Cairngorms National Park,PH21 1ER,0,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DG,14,
,1,The Cairngorms National Park,AB34 5PB,0,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DH,9,
,1,The Cairngorms National Park,PH20 1BU,41,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DJ,23,
,1,The Cairngorms National Park,PH19 1AB,37,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DL,15,
,1,The Cairngorms National Park,PH11 8QW,33,,,2,The Loch Lomond and The Trossachs National Park,FK17 8ED,12,
,1,The Cairngorms National Park,AB34 5LW,8,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DP,8,
,1,The Cairngorms National Park,AB34 5NB,9,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EB,26,
,1,The Cairngorms National Park,AB34 5NT,6,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DR,23,
,1,The Cairngorms National Park,AB34 5NU,13,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DS,57,
,1,The Cairngorms National Park,AB34 5NX,15,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DT,3,
,1,The Cairngorms National Park,PH19 1AF,36,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DU,31,
,1,The Cairngorms National Park,AB34 5PA,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DW,118,
